año,rk,equipo,valor,wins,losses,win%,league_rank
2023,1,warriors,7.7,44,38,53.7,6.0
2023,2,knicks,6.6,47,35,57.3,5.0
2023,3,lakers,6.4,43,39,52.4,7.0
2023,4,celtics,4.7,57,25,69.5,2.0
2023,5,clippers,4.65,44,38,53.7,5.0
2023,6,bulls,4.6,40,42,48.8,10.0
2023,7,mavericks,4.5,38,44,46.3,11.0
2023,8,rockets,4.4,22,60,26.8,14.0
2023,9,76ers,4.3,54,28,65.9,3.0
2023,10,raptors,4.1,41,41,50.0,9.0
2023,11,suns,4.0,45,37,54.9,4.0
2023,12,heat,3.9,44,38,53.7,7.0
2023,13,nets,3.85,45,37,54.9,6.0
2023,14,wizards,3.5,35,47,42.7,12.0
2023,15,nuggets,3.38,53,29,64.6,1.0
2023,16,cavaliers,3.35,51,31,62.2,4.0
2023,17,kings,3.33,48,34,58.5,3.0
2023,18,hawks,3.33,41,41,50.0,8.0
2023,19,spurs,3.25,22,60,26.8,15.0
2023,20,bucks,3.2,58,24,70.7,1.0
2023,21,jazz,3.09,37,45,45.1,12.0
2023,22,blazers,3.08,33,49,40.2,13.0
2023,23,pistons,3.08,17,65,20.7,15.0
2023,24,thunder,3.05,40,42,48.8,10.0
2023,25,hornets,3.0,27,55,32.9,14.0
2023,26,magic,2.95,34,48,41.5,13.0
2023,27,pacers,2.9,35,37,42.7,11.0
2023,28,pelicans,2.55,42,40,51.2,9.0
2023,29,timberwolves,2.5,42,40,51.2,8.0
2023,30,grizzlies,2.4,51,31,62.2,2.0
2022,1,warriors,7.0,53,29,64.6,3.0
2022,2,knicks,6.1,37,45,45.1,11.0
2022,3,lakers,5.9,33,49,40.2,11.0
2022,4,bulls,4.1,46,36,56.1,6.0
2022,5,celtics,4.0,51,31,62.2,2.0
2022,6,clippers,3.9,42,40,51.2,8.0
2022,7,nets,3.5,44,38,53.7,7.0
2022,8,mavericks,3.3,52,30,63.4,4.0
2022,9,rockets,3.2,20,62,24.4,15.0
2022,10,76ers,3.15,51,31,62.2,4.0
2022,11,raptors,3.1,48,34,58.5,5.0
2022,12,heat,3.0,53,29,64.6,1.0
2022,13,suns,2.7,64,18,78.0,1.0
2022,14,wizards,2.5,35,47,42.7,12.0
2022,15,bucks,2.3,51,31,62.2,3.0
2022,16,blazers,2.1,27,55,32.9,13.0
2022,17,cavaliers,2.05,44,38,53.7,8.0
2022,18,kings,2.03,30,52,36.6,12.0
2022,19,jazz,2.025,49,33,59.8,5.0
2022,20,spurs,2.0,34,48,41.5,10.0
2022,21,hawks,1.975,43,39,52.4,9.0
2022,22,nuggets,1.93,48,34,58.5,6.0
2022,23,pistons,1.9,23,59,28.0,14.0
2022,24,thunder,1.875,24,58,29.3,14.0
2022,25,magic,1.85,22,60,26.8,15.0
2022,26,pacers,1.8,25,57,30.5,13.0
2022,27,hornets,1.7,43,39,52.4,10.0
2022,28,timberwolves,1.67,46,36,56.1,7.0
2022,29,grizzlies,1.65,56,26,68.3,2.0
2022,30,pelicans,1.6,36,46,43.9,9.0
2021,1,knicks,5.0,41,31,56.9,4.0
2021,2,warriors,4.7,39,33,54.2,9.0
2021,3,lakers,4.6,42,30,58.3,7.0
2021,4,bulls,3.3,31,41,43.1,11.0
2021,5,celtics,3.2,36,36,50.0,7.0
2021,6,clippers,2.75,47,25,65.3,4.0
2021,7,nets,2.65,48,24,66.7,2.0
2021,8,rockets,2.5,17,55,23.6,15.0
2021,9,mavericks,2.45,42,30,58.3,5.0
2021,10,raptors,2.15,27,45,37.5,12.0
2021,11,76ers,2.075,49,23,68.1,1.0
2021,12,heat,2.0,40,32,55.6,6.0
2021,13,blazers,1.9,42,30,58.3,6.0
2021,14,spurs,1.85,33,39,45.8,10.0
2021,15,kings,1.825,31,41,43.1,12.0
2021,16,wizards,1.8,34,38,47.2,8.0
2021,17,suns,1.7,51,21,70.8,2.0
2021,18,jazz,1.66,52,20,72.2,1.0
2021,19,nuggets,1.65,47,25,65.3,3.0
2021,20,bucks,1.625,46,26,63.9,3.0
2021,21,thunder,1.575,22,50,30.6,14.0
2021,22,cavaliers,1.56,22,50,30.6,13.0
2021,23,pacers,1.55,34,38,47.2,9.0
2021,24,hawks,1.52,41,31,56.9,5.0
2021,25,hornets,1.5,33,39,45.8,10.0
2021,26,magic,1.46,21,51,29.2,14.0
2021,27,pistons,1.45,20,52,27.8,15.0
2021,28,timberwolves,1.4,23,49,31.9,13.0
2021,29,pelicans,1.35,31,41,43.1,11.0
2021,30,grizzlies,1.3,38,34,52.8,8.0
2020,1,knicks,4.6,21,45,31.8,12.0
2020,2,lakers,4.4,52,19,73.1,1.0
2020,3,warriors,4.3,15,50,23.1,15.0
2020,4,bulls,3.2,22,43,33.8,11.0
2020,5,celtics,3.1,48,24,66.7,3.0
2020,6,clippers,2.6,49,23,68.1,2.0
2020,7,nets,2.5,35,37,48.6,7.0
2020,8,rockets,2.475,44,28,61.1,4.0
2020,9,mavericks,2.4,43,32,57.3,7.0
2020,10,raptors,2.1,53,19,73.6,2.0
2020,11,76ers,2.0,53,30,58.9,6.0
2020,12,heat,1.95,44,29,60.3,5.0
2020,13,blazers,1.85,35,39,47.3,8.0
2020,14,spurs,1.8,32,30,45.1,11.0
2020,15,kings,1.775,31,41,43.1,12.0
2020,16,wizards,1.75,25,47,34.7,9.0
2020,17,suns,1.626,34,39,46.6,10.0
2020,18,nuggets,1.6,46,27,63.0,3.0
2020,19,bucks,1.58,56,17,76.7,1.0
2020,20,thunder,1.575,44,28,61.1,5.0
2020,21,jazz,1.55,44,28,61.1,6.0
2020,22,pacers,1.525,45,28,61.6,4.0
2020,23,hawks,1.52,20,47,29.9,14.0
2020,24,cavs,1.51,19,46,29.2,15.0
2020,25,hornets,1.5,23,42,35.4,10.0
2020,26,pistons,1.45,20,46,30.3,13.0
2020,27,magic,1.43,33,40,45.2,8.0
2020,28,timberwolves,1.375,19,45,29.7,14.0
2020,29,pelicans,1.35,30,42,41.7,13.0
2020,30,grizzlies,1.3,34,39,46.6,9.0
2019,1,knicks,4.0,17,65,20.7,15.0
2019,2,lakers,3.7,37,45,45.1,10.0
2019,3,warriors,3.5,57,25,69.5,1.0
2019,4,bulls,2.9,22,60,26.8,13.0
2019,5,celtics,2.8,49,33,59.8,4.0
2019,6,nets,2.35,42,40,51.2,6.0
2019,7,rockets,2.3,53,29,64.6,4.0
2019,8,mavs,2.25,33,49,40.2,14.0
2019,9,clippers,2.2,48,34,58.5,8.0
2019,10,heat,1.75,39,43,47.6,10.0
2019,11,raptors,1.675,58,24,70.7,2.0
2019,12,76ers,1.65,51,31,62.2,2.0
2019,13,spurs,1.625,48,34,58.5,7.0
2019,14,blazers,1.6,53,29,64.6,3.0
2019,15,kings,1.575,39,43,47.6,9.0
2019,16,wizards,1.55,32,50,39.0,11.0
2019,17,suns,1.5,19,63,23.2,15.0
2019,18,thunder,1.475,49,33,59.8,6.0
2019,19,jazz,1.425,50,32,61.0,5.0
2019,20,pacers,1.4,48,34,58.5,5.0
2019,21,nuggets,1.375,54,28,65.9,2.0
2019,22,bucks,1.35,60,22,73.2,1.0
2019,23,magic,1.325,42,40,51.2,7.0
2019,24,hawks,1.3,29,53,35.4,12.0
2019,25,cavs,1.275,19,63,23.2,14.0
2019,26,pistons,1.27,41,41,50.0,8.0
2019,27,timberwolves,1.26,36,46,43.9,11.0
2019,28,hornets,1.25,39,43,47.6,9.0
2019,29,pelicans,1.22,33,49,40.2,13.0
2019,30,grizzlies,1.2,33,9,40.2,12.0
2018,1,knicks,3.6,29,53,35.4,11.0
2018,2,lakers,3.3,35,47,42.7,11.0
2018,3,warriors,3.1,58,24,70.7,2.0
2018,4,bulls,2.6,27,55,32.9,13.0
2018,5,celtics,2.5,55,27,67.1,2.0
2018,6,nets,2.3,28,54,34.1,12.0
2018,7,rockets,2.2,65,17,79.3,1.0
2018,8,clippers,2.15,42,40,51.2,10.0
2018,9,mavericks,1.9,24,58,29.3,13.0
2018,10,heat,1.7,44,38,53.7,6.0
2018,11,spurs,1.55,47,35,57.3,7.0
2018,12,raptors,1.4,59,23,72.0,1.0
2018,13,kings,1.375,27,55,32.9,
2018,14,wizards,1.35,43,39,52.4,8.0
2018,15,cavaliers,1.325,50,32,61.0,4.0
2018,16,blazers,1.3,49,33,59.8,
2018,17,suns,1.28,21,61,25.6,15.0
2018,18,thunder,1.25,48,34,58.5,4.0
2018,19,magic,1.225,25,57,30.5,14.0
2018,20,jazz,1.2,48,34,58.5,5.0
2018,21,76ers,1.18,52,30,63.4,3.0
2018,22,pacers,1.175,48,34,58.5,5.0
2018,23,hawks,1.15,24,58,29.3,15.0
2018,24,nuggets,1.125,46,36,56.1,9.0
2018,25,pistons,1.1,39,43,47.6,9.0
2018,26,bucks,1.075,44,38,53.7,7.0
2018,27,timberwolves,1.06,47,35,57.3,8.0
2018,28,hornets,1.05,36,46,43.9,10.0
2018,29,grizzlies,1.025,22,60,26.8,14.0
2018,30,pelicans,1.0,48,34,58.5,6.0
